hash,author,modules,lines_added,lines_deleted
02699bc1fd3b7fccba2e6b55189a148ef69b8a00,Tomas Vondra,['src'],5,1
7aa81c61ec8f68212570192f3088544dbfa43cb9,Michael Paquier,['src'],40,18
203942243c2a2da188db962f3384f1c607a462b5,Andrew Dunstan,['contrib'],1,1
7a05425d96742acff5ebfacf307711385c88429b,Andrew Dunstan,['contrib'],137,50
3b76622e04d8656fb44e7c932cb243e2d92fe40e,Andrew Dunstan,['contrib'],35,6
197f98a848233f2d8d8e7f7fd7dde3e49adaaaa3,Tom Lane,['contrib'],133,28
858e776c84f48841e7e16fba7b690b76e54f3675,Tom Lane,['src'],403,128
78212f21011449f0374831323655baa7c00f3680,Tom Lane,['src'],196,52
63c844a0a5d70cdbd6ae0470d582d39e75ad8d66,Peter Geoghegan,['src'],0,1
2259c661dc4ecd88ac22b5358248f47ca5a5d4fc,Michael Paquier,['src'],1,1
d3c0cc4447307a2ffbcff8274573b544294e583c,Michael Paquier,['src'],11,15
442e25d2485b1ecf3357725acee995a1c349163d,Tom Lane,['src'],40,3
361ec4368b1da252e031e2ee8bce366bce5f72b2,Andrew Dunstan,['contrib'],2,2
720e0327bc98464b889801a65ae2358f86a0265a,Andrew Dunstan,['contrib'],63,44
e37fe1db6ef930f657be28fe764f7e642b93464a,Andrew Dunstan,['src'],322,125
b5aff9255700b0b3155a4d2be865b6a776c2bda4,David Rowley,['src'],23,9
6602599ce25665394112b944f3cdbd68a2587d97,Alvaro Herrera,['src'],1,1
878ce16056c087e2dcd7cc31cd7e4700f407a770,Andrew Dunstan,['contrib'],70,18
7a310338f4dd3195376477d502e93fba5f165769,Alvaro Herrera,['doc'],3,2
bbfdf7180de85f9e7e995ba00dddc58452b3ba4b,David Rowley,"['contrib', 'src']",68,13
1f0019de2fe374fa54fca277f36c2e754894db30,Thomas Munro,['src'],16,0
3022cb14339656be2afeee72150dcc5725838398,Michael Paquier,['src'],2,2
2fcf685f6daa4f872ca726e25cc504a544916dbb,Michael Paquier,['src'],3,3
01be9d498fa4b836ec3dbf035b6743c8b8f34767,Michael Paquier,['src'],1,1
701c881f782b93ee29587112390bd3bfe035e78d,Tom Lane,['contrib'],33,7
eb706fde8302c32267518663032905556db21f57,David Rowley,['src'],11,7
