hash,author,modules,lines_added,lines_deleted
8fcd80258bcf43dab93d877a5de0ce3f4d2bd471,Amit Kapila,['src'],103,30
6e80951f49f3bc18b5bdfb7e87bc2e0bcfb4af00,Bruce Momjian,['doc'],3,2
e15e56713702c45402d2728f3d7d68df96b2fbbe,Richard Guo,['src'],39,39
5b8728cd7f9d3d93b6ff9b48887084fdf0a46e4f,Tom Lane,['src'],64,5
d4d11940df94ee13166dda70271ff3b97e43bc9b,Alexander Korotkov,['src'],8,8
2ff7c913d92d8540e8b00c54746ce2f565521256,Michael Paquier,['doc'],2,2
ee937f0409d5c75855861bf31f88eeb77623b411,Heikki Linnakangas,['src'],11,8
ea15816928c1bbcab749205a263d82daea28a3e0,Michael Paquier,['src'],1,1
b5be29ecafe1653ec53f49cbc4789b9683648bc0,Álvaro Herrera,['src'],2,2
7300ff1bd8fa64c0feab1d490b709d553e9a438e,Álvaro Herrera,['src'],2,7
79b575d3bc09cc67a7b5c2da454aeb35f4beccc5,Peter Eisentraut,['src'],28,6
da94e871e8877d1f1054277b24b604bf1c0036a6,Álvaro Herrera,['src'],3,3
ea792bfd93ab8ad4ef4e3d1a741b8595db143677,Michael Paquier,['src'],24,0
94131cd53c1552efe85c3e8120356c22cd658163,Tom Lane,['src'],9,3
15afb7d61c142a9254a6612c6774aff4f358fb69,Michael Paquier,['doc'],30,28
c166454496876818216e222890ab1ae788551c42,Fujii Masao,"['doc', 'src']",19,0
a3699daea2026de324ed7cc7115c36d3499010d3,Michael Paquier,['src'],5,3
7b88529f4363994450bd4cd3c172006a8a77e222,Noah Misch,['src'],90,3
e5ed873b1b4a395b06a5599100383a95c9846e5b,Masahiko Sawada,['src'],3,1
b69bdcee9c9cfd8550c4e847d035f441fcee7d01,Tom Lane,['src'],79,1
9321d2fdf808e93095c4f86565dc8c8178675841,Peter Eisentraut,"['doc', 'src']",105,178
e468ec0fddcd93e282da6685b75d5687c2a87f2a,Peter Eisentraut,['src'],11,13
818119afccd342823e5b638be51f64ba36221318,Michael Paquier,['src'],54,5
38c18710b37a2d0e343a8d6b6333cff31498459b,Álvaro Herrera,['src'],4,0
d74b590983d18b7c5bdc1679ce85b1600871d874,Michael Paquier,['src'],1,1
3be30d007514d504b1d0554a20527ee5ba7a6cfb,Peter Geoghegan,['src'],3,3
db22b900244d3c51918acce44cbe5bb6f6507d32,Alexander Korotkov,"['contrib', 'src']",16,2
c4252c9ef0afea48a59402901c16fc970d838721,Tom Lane,['src'],5,0
5a2fed911a85ed6d8a015a6bafe3a0d9a69334ae,Tom Lane,['src'],313,114
bf8835ea9717df50230c12133cff1b486dcc57be,Michael Paquier,"['doc', 'src']",22,35
0fa688406595091c4fb6d65f2d409366cc11394e,Nathan Bossart,['src'],2,2
caca6d8d276ce57473e97050d19dfe84e59482c8,Peter Geoghegan,['src'],2,1
b8df690492568d7852b799b4eff3274fbbd91e78,Tom Lane,['src'],23,11
f00ab1fd156ea9c6283ffa0be5cddaafecfb0a35,Richard Guo,['src'],62,3
41b98ddb77bf49433f174f03383533dd09bdefec,Nathan Bossart,"['config', 'meson.build', 'src', 'configure']",5,5
d7a2b5bd8718a6207fb364318d7f7cccdf6219c3,Peter Eisentraut,['src'],39,39
9044fc1d45a0212fd123bd8f364eac058f60fed7,Thomas Munro,['src'],985,2
87f81a55632107006e5006a2d0bc5272ebaeca64,David Rowley,['src'],14,9
3293b718a01310c8ce765ace3cb15efcb956a84e,Bruce Momjian,['doc'],1,1
b1008c1f01ff5cd35d2394bde2532c40781e696f,Tom Lane,"['doc', 'src']",24,14
215f7af27d622162a1e33883f71697af374b98cf,Masahiko Sawada,['src'],1,1
846cfe0dcc0281fd9064798ac3539e20379b9b91,Peter Geoghegan,['src'],7,4
0b1765d959508050dba023099e36325cfeec3ff9,Robert Haas,['src'],75,0
7ac744e72c842f528bfbb303e615560f0689619b,Bruce Momjian,['doc'],1,1
1fe0466cf2cbb909b6553061620b6a6779319406,Heikki Linnakangas,['src'],2,3
0bada39c83a150079567a6e97b1a25a198f30ea3,Noah Misch,['src'],26,8
4200fea80e79851994b8eb5a64a3d4420456c977,Bruce Momjian,['doc'],6,2
2d8bff603c9ee7b284b85016fd1a8849ee36368d,Tom Lane,['src'],62,22
b82c877e76e2398409e823773413079668cf1881,Heikki Linnakangas,['src'],5,2
492e6b54c604c39ecf5ebc812849185b20c4b1b6,Peter Geoghegan,['src'],2,0
763d65ae254569e0bdbe2cbb27b184112765f24f,Peter Geoghegan,['src'],21,8
2d5fe514052ad82e46612e4c572f1c999be56a71,Álvaro Herrera,['src'],27,30
49a23441ca7f314c25794a9a547011c0a858cfaa,Michael Paquier,['src'],28,2
8a98822bcc37c03baf44ec39d8e88d9c24647b9d,Peter Eisentraut,['src'],4,0
de5afddc3ba4aa41f341f62347ce40bb9ea9d78b,Heikki Linnakangas,['src'],2,2
33b2fbe0504bd349c3bb86e8711f5531c8ca84b7,Peter Geoghegan,['src'],1,1
0fe173680e148984a150326b80c322a91ffa899d,Daniel Gustafsson,['doc'],2,2
aa1e898dea666629bb5314fd25445545b9eb7b27,Alexander Korotkov,['src'],10,0
7175ef870e24763a561821685160c5e35b2e8989,Tatsuo Ishii,['src'],1,1
67bab53d64428e4d43386be0e077cd662bc9cad3,Noah Misch,['src'],7,11
e546989a269d5d73d283901aadcfda8c6d98e87b,Alexander Korotkov,"['doc', 'src']",118,14
4b096c67e0eed81e287094b9692fff72b9ea3eef,Jeff Davis,['src'],54,2
7b8b8dddd68aca184ae12e01d2f12d1d338e8f90,Masahiko Sawada,['src'],1,1
0a3f9838218f6f7ff825bb0af00177681fef83ce,Jeff Davis,['doc'],1,1
56b1e88c804b0c7e32f77b4e2bd3cc42ebdfcc3f,Jeff Davis,['src'],1,1
07d00692c8da83fe2835900b2294e8966c2be247,Jeff Davis,['doc'],1,1
940f7a562731084f7cb23c0a56e46056340ab664,Daniel Gustafsson,['src'],1,1
17b4aa77c3a161a9d0e7b08bd9931fe9fd051540,Daniel Gustafsson,['doc'],3,3
a0bff38d133ac95fb56bbd868a128bba95ec46c9,Michael Paquier,['src'],109,48
774171c4f640853b1cf8747a4762631d2f5d25be,Tom Lane,['src'],244,3
d2b4b4c2259e21ceaf05e393769b69728bfbee99,Peter Eisentraut,['src'],4,1
68ad9816c189958a0731d8d5ead7545878fdf15d,Tom Lane,['src'],17,5
1a43de5e0a591b66ef3d92f3fac5aefcc2dc02fe,Heikki Linnakangas,['src'],9,4
57a36e890d3d60e6408bf6805e91c82f7b370873,Michael Paquier,['src'],5,5
11c87216d134a606938531e52edab6189bce6c2d,Amit Langote,['src'],92,11
52475b4d30984e377542f964951bea57b0b26e92,Tom Lane,['src'],1,1
4b652692e97923298d0c7b9c1c303fc648984d92,Peter Eisentraut,['src'],7,3
24a36f91e32d6cbb8182c4cc6529d6e47587c988,Peter Eisentraut,['src'],8,4
19567b3eb4074c39b48f5557f268c3fb21dfa0f6,Michael Paquier,['src'],1,1
eecd9138a0ef565366427a88866d0651530f7da4,Jeff Davis,['src'],13,9
1fed234f9faf1071d925434c5e9c14688fb4c77e,Tom Lane,['src'],10,6
98c7c7152d2d4670a349c0fe48f05cf95c0b1185,Thomas Munro,['src'],12,5
6234a9ce0ef188d73caca1fe0f2ce79d2029009c,Peter Eisentraut,['src'],1,2
665785d85f8b9a7250802d7fadd84841bb0aafa1,Peter Eisentraut,['src'],4,4
342fb8a332007fb64fb1450e28194c36e9da3d6b,Peter Eisentraut,['src'],1,1
089aac631b5ba53be0ecf8ea2e8d81388d69629c,Michael Paquier,['src'],26,4
c0490b0ef773d8694d1a9bfbf4116a102c07458d,Peter Geoghegan,['src'],1,1
a7f2f6adc240a2823c2344b89e90bb630dea8803,Jeff Davis,['src'],5,5
b360d1762b55c3ff36e8b14c6a2286e5d4f61974,Jeff Davis,['src'],1,1
9b4bf5169064044ff082c61bf0783c4a65c08734,Tom Lane,['src'],6,1
c259b1578e006b2f808595fac4d8e45c5cce9d73,Amit Langote,['src'],1,1
67846550dc6d7d90db4d98cdd8a8440725ef5c65,Peter Eisentraut,['doc'],5,3
